seed,K,source_layer,cos,rel
0,0,0,0.9683451281168401,0.2729809316390849
0,0,1,0.976503517990483,0.3073096270132761
0,0,2,0.9988922713200012,0.057663161948831435
0,0,3,0.9999999804218203,6.098776329811824e-07
0,1,0,0.9986704665080391,0.1350554135436828
0,1,1,0.9949872571447602,0.14628581383020176
0,1,2,0.9999999550713262,5.787482539863227e-07
0,1,3,0.9999999804218203,6.098776329811824e-07
0,2,0,0.9967422714622306,0.11484138188097291
0,2,1,1.0000000216670595,2.9816388382911865e-07
0,2,2,0.9999999550713262,5.787482539863227e-07
0,2,3,0.9999999804218203,6.098776329811824e-07
0,3,0,0.9999999851476411,4.212513951802732e-07
0,3,1,1.0000000216670595,2.9816388382911865e-07
0,3,2,0.9999999550713262,5.787482539863227e-07
0,3,3,0.9999999804218203,6.098776329811824e-07
1,0,0,0.983488678727311,0.3216149456954511
1,0,1,0.9307110448988059,0.3999378362545827
1,0,2,0.9832024917220522,0.18264730353793687
1,0,3,0.999999971563193,7.100687125959487e-07
1,1,0,0.9682035215426771,0.27730854746288747
1,1,1,0.9886954516560462,0.26477400818598207
1,1,2,0.999999939115437,1.8596562216880172e-07
1,1,3,0.999999971563193,7.100687125959487e-07
1,2,0,0.9754741294015437,0.8396176728111217
1,2,1,1.0000000566551501,5.597512779741949e-07
1,2,2,0.999999939115437,1.8596562216880172e-07
1,2,3,0.999999971563193,7.100687125959487e-07
1,3,0,1.0000000970125151,3.0712872002874833e-06
1,3,1,1.0000000566551501,5.597512779741949e-07
1,3,2,0.999999939115437,1.8596562216880172e-07
1,3,3,0.999999971563193,7.100687125959487e-07
2,0,0,0.9995182572674258,0.33451330674550317
2,0,1,0.9796110131837974,0.5546800224383179
2,0,2,0.8163762890558234,0.6521269723871453
2,0,3,0.9999998896644038,4.347608229080311e-07
2,1,0,0.9955435418958506,0.5198404392992929
2,1,1,0.9859424755071473,0.7077432682051353
2,1,2,1.0000000351990732,3.1098407615900255e-07
2,1,3,0.9999998896644038,4.347608229080311e-07
2,2,0,0.9999951272452262,0.28665824906141424
2,2,1,0.9999999753863522,2.190820430744524e-07
2,2,2,1.0000000351990732,3.1098407615900255e-07
2,2,3,0.9999998896644038,4.347608229080311e-07
2,3,0,0.9999998854403211,3.2479637733280484e-07
2,3,1,0.9999999753863522,2.190820430744524e-07
2,3,2,1.0000000351990732,3.1098407615900255e-07
2,3,3,0.9999998896644038,4.347608229080311e-07
