layers,memory,seed,T,mode,cos,rel,norm
1,0,0,256,trace,0.9999584433450145,0.009118609621570791,1.0000255759041838
1,0,0,256,instant,0.7218358042855751,0.6926575050256992,0.6931759295249565
1,1,0,256,trace,0.9957160998519426,0.11579474542849516,0.9260119990819297
1,1,0,256,instant,0.7157509226634561,0.7157114840332143,0.5590908261924178
2,0,0,256,trace,0.9363628288500753,0.3889460229222424,0.7688676386843537
2,0,0,256,instant,0.7604686194660215,0.6540318562822179,0.6825542912999407
2,1,0,256,trace,0.8326284010079229,0.5547629362493993,0.800514769787604
2,1,0,256,instant,0.6640907243063557,0.7482441260483368,0.6343531837266199
4,0,0,256,trace,0.5139169358128154,0.8629541546838683,0.6077328369445731
4,0,0,256,instant,0.3672502858854881,0.9304674569711778,0.3418846043567754
4,1,0,256,trace,0.891196071016384,0.4541087215868733,0.9123039610292185
4,1,0,256,instant,0.5008073611039202,0.8663201939228633,0.5371373041379824
1,0,1,256,trace,0.9998353311162399,0.01814349383610949,0.999787433639302
1,0,1,256,instant,0.8924252768981713,0.4540884286851434,0.9435985190710957
1,1,1,256,trace,0.9901844478721149,0.14158372909071207,1.012774564129635
1,1,1,256,instant,0.9001474190012851,0.44930811603871795,0.7899543656158425
2,0,1,256,trace,0.9468525975979659,0.32257380200122315,0.9226873483011229
2,0,1,256,instant,0.7797591901182895,0.6290890068254198,0.7182995984161874
2,1,1,256,trace,0.9793521257433346,0.2276144407542743,0.8747655073871343
2,1,1,256,instant,0.7111071258866234,0.7147581150878041,0.5824540673135203
4,0,1,256,trace,0.9465404783176361,0.3635370598832853,0.7789185009248473
4,0,1,256,instant,0.606100267972431,0.811460809755083,0.44539772577636283
4,1,1,256,trace,0.9157435147848214,0.4106346487880489,0.8308540019970219
4,1,1,256,instant,0.6579958069243613,0.7684018294171188,0.5050285539161994
1,0,2,256,trace,0.9996614010103199,0.026027274504181724,1.0001435772107659
1,0,2,256,instant,0.9577931441552944,0.2874614235312835,0.9590115365630933
1,1,2,256,trace,0.9948720161010601,0.11119355627340752,1.0410743564703262
1,1,2,256,instant,0.8985607528312772,0.44456680675828786,0.8274860640494973
2,0,2,256,trace,0.9707891724306992,0.29192482838166417,0.8044989172046006
2,0,2,256,instant,0.4769759549622169,0.8812919679162744,0.4123025663940675
2,1,2,256,trace,0.9554367391256526,0.31773839793145764,1.0729809557669416
2,1,2,256,instant,0.8338885882563406,0.6027547397260639,0.5916436713553713
4,0,2,256,trace,0.719126888803785,0.7090700306921529,0.5779756182806571
4,0,2,256,instant,0.5438553945632931,0.8578133590999072,0.3660279971747429
4,1,2,256,trace,0.8731119508911312,0.4898141363788495,0.8257668610343747
4,1,2,256,instant,0.6362542378509339,0.7963269779068525,0.4388819155563384
1,0,3,256,trace,0.999305052938344,0.03728412764391403,1.0003610390768087
1,0,3,256,instant,0.9774442536675696,0.2111963492929381,0.9785597786601925
1,1,3,256,trace,0.9979998888398828,0.06408358598816193,1.0085285185061332
1,1,3,256,instant,0.9342846995826761,0.35715570930585366,0.9130994569749377
2,0,3,256,trace,0.9617411582812408,0.2799458159851085,0.9041646888965469
2,0,3,256,instant,0.8092709290934591,0.6530651225719927,0.523941772807867
2,1,3,256,trace,0.9011064038763014,0.4412693716227497,0.9830219673491896
2,1,3,256,instant,0.7942120778399043,0.6081960784503304,0.8201762697486281
4,0,3,256,trace,0.8831285297958629,0.47019549801365285,0.851515286028072
4,0,3,256,instant,0.7422695052031091,0.6769613074556287,0.6461427276839852
4,1,3,256,trace,0.9354176245047754,0.3539316677945481,0.9519477825400235
4,1,3,256,instant,0.7057073512722883,0.7146006898787753,0.6125602162677048
1,0,4,256,trace,0.999944263962419,0.010562456175711337,0.9999261241509109
1,0,4,256,instant,0.7999466193354067,0.6022149117034512,0.7491755572805986
1,1,4,256,trace,0.9931733789495175,0.12664285295232539,1.0424814547161152
1,1,4,256,instant,0.7721422710168628,0.666909926256397,0.569725927678634
2,0,4,256,trace,0.9747592112507942,0.30830034340140067,0.7621457248948593
2,0,4,256,instant,0.641149157022638,0.7799011014303997,0.5021587477806905
