layers,memory,seed,T,mode,cos,rel,norm
1,0,6,256,trace,0.9993106091929177,0.0371290699790223,0.9991736741927824
1,0,6,256,instant,0.6058229353891884,0.7957857017248093,0.5886111420300825
1,1,6,256,trace,0.9976917803840036,0.08750631901997545,0.9425017374145568
1,1,6,256,instant,0.7460567719293194,0.6863957585889789,0.5795033661686317
2,0,6,256,trace,0.8809682373892348,0.4799938902989265,0.9615851351859961
2,0,6,256,instant,0.6866316223059361,0.7281432520448599,0.6459422236606165
2,1,6,256,trace,0.9746252232763919,0.23057771183503592,1.0299491790847677
2,1,6,256,instant,0.6644709515208729,0.7477690745511703,0.6905566423191657
4,0,6,256,trace,0.8624634270046903,0.5204454491526006,0.7411899455633173
4,0,6,256,instant,0.5266127015557862,0.8712538938755461,0.33581238659075385
4,1,6,256,trace,0.7649311217461692,0.6445368270557119,0.7883214059487548
4,1,6,256,instant,0.691121897165264,0.7560515049409882,0.46916926747419885
