layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
1,0,256,instant,1,0.6058229353891884,0.7957857017248093,0.5886111420300825,0.0,0.0,0.0
1,0,256,trace,1,0.9993106091929177,0.0371290699790223,0.9991736741927824,0.0,0.0,0.0
1,1,256,instant,1,0.7460567719293194,0.6863957585889789,0.5795033661686317,0.0,0.0,0.0
1,1,256,trace,1,0.9976917803840036,0.08750631901997545,0.9425017374145568,0.0,0.0,0.0
2,0,256,instant,1,0.6866316223059361,0.7281432520448599,0.6459422236606165,0.0,0.0,0.0
2,0,256,trace,1,0.8809682373892348,0.4799938902989265,0.9615851351859961,0.0,0.0,0.0
2,1,256,instant,1,0.6644709515208729,0.7477690745511703,0.6905566423191657,0.0,0.0,0.0
2,1,256,trace,1,0.9746252232763919,0.23057771183503592,1.0299491790847677,0.0,0.0,0.0
4,0,256,instant,1,0.5266127015557862,0.8712538938755461,0.33581238659075385,0.0,0.0,0.0
4,0,256,trace,1,0.8624634270046903,0.5204454491526006,0.7411899455633173,0.0,0.0,0.0
4,1,256,instant,1,0.691121897165264,0.7560515049409882,0.46916926747419885,0.0,0.0,0.0
4,1,256,trace,1,0.7649311217461692,0.6445368270557119,0.7883214059487548,0.0,0.0,0.0
