layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
1,0,2,instant,1,0.9929821001810218,0.11991133977680726,0.9731779508427293,0.0,0.0,0.0
1,0,2,trace,1,0.9998499640624277,0.017319397751830598,0.9998393252860083,0.0,0.0,0.0
1,0,4,instant,1,0.9919868554382028,0.12647936439509652,0.997915150482828,0.0,0.0,0.0
1,0,4,trace,1,0.9999194750107754,0.012681940672500386,0.9998821343985886,0.0,0.0,0.0
1,0,8,instant,1,0.8738424951247074,0.5002007292548463,0.7563634800672469,0.0,0.0,0.0
1,0,8,trace,1,0.9997920357830489,0.020394061995795975,1.0000167848852113,0.0,0.0,0.0
1,0,16,instant,1,0.934919275039617,0.36160290956251345,0.8654143730270911,0.0,0.0,0.0
1,0,16,trace,1,0.9996773418342522,0.025406566239718455,1.000153203745348,0.0,0.0,0.0
1,0,32,instant,1,0.969385451706517,0.24575813759044332,0.959134360234348,0.0,0.0,0.0
1,0,32,trace,1,0.9993891301350496,0.03496219559165498,1.0002575320276241,0.0,0.0,0.0
1,0,64,instant,1,0.9841774022140707,0.17730569025498646,0.9906764727173492,0.0,0.0,0.0
1,0,64,trace,1,0.9993931440581938,0.0348426270520089,1.00031253462505,0.0,0.0,0.0
1,0,128,instant,1,0.9808863277688287,0.19458063027281153,0.9808260686657191,0.0,0.0,0.0
1,0,128,trace,1,0.9993319083660384,0.036557890869409214,1.0003284110776975,0.0,0.0,0.0
1,1,2,instant,1,0.9913194573617209,0.13186943757012257,1.001487712105061,0.0,0.0,0.0
1,1,2,trace,1,0.9971432846257524,0.07574198391250626,1.0027375748916958,0.0,0.0,0.0
1,1,4,instant,1,0.9824632880841754,0.18645767605321614,0.9827138085713607,0.0,0.0,0.0
1,1,4,trace,1,0.9981352435046448,0.06111290077934961,1.0010604707698008,0.0,0.0,0.0
1,1,8,instant,1,0.9845383020194167,0.17527381245808424,0.978432224312453,0.0,0.0,0.0
1,1,8,trace,1,0.9988984090627013,0.04711699671215272,1.0031039988518644,0.0,0.0,0.0
1,1,16,instant,1,0.8977603754066237,0.4435874558235393,0.8453876663330863,0.0,0.0,0.0
1,1,16,trace,1,0.9987044319047544,0.051563247154198466,1.0069775060802222,0.0,0.0,0.0
1,1,32,instant,1,0.8895784186933497,0.46160042760542525,0.8230614121468984,0.0,0.0,0.0
1,1,32,trace,1,0.9979451273389022,0.06522036546473627,0.9857653674556387,0.0,0.0,0.0
1,1,64,instant,1,0.9815574689973232,0.1912542536979316,0.9872618292755532,0.0,0.0,0.0
1,1,64,trace,1,0.9978886485247449,0.06517577309005311,1.0032970635810738,0.0,0.0,0.0
1,1,128,instant,1,0.9788033529442929,0.20483250649783402,0.9822596757248039,0.0,0.0,0.0
1,1,128,trace,1,0.9971018775207091,0.07675414006685903,1.00725122871642,0.0,0.0,0.0
2,0,2,instant,1,0.9858152365519488,0.16784389533362018,0.9877529166079573,0.0,0.0,0.0
2,0,2,trace,1,0.995975836199754,0.09225714655844465,1.017876930131542,0.0,0.0,0.0
2,0,4,instant,1,0.915577790647806,0.40638778820407573,0.8569904622006199,0.0,0.0,0.0
2,0,4,trace,1,0.9373167639946605,0.35454506322321266,0.8720191807345975,0.0,0.0,0.0
2,0,8,instant,1,0.891606077446662,0.4699790752204791,0.7657451537182441,0.0,0.0,0.0
2,0,8,trace,1,0.9242145059853577,0.38218271648416713,0.9395473375448257,0.0,0.0,0.0
2,0,16,instant,1,0.8471785419966049,0.58353587806137,0.6058795141016166,0.0,0.0,0.0
2,0,16,trace,1,0.9485770279668594,0.34757287229309813,0.8050320086797219,0.0,0.0,0.0
2,0,32,instant,1,0.8249920029032699,0.6421563643034169,0.5200716169595765,0.0,0.0,0.0
2,0,32,trace,1,0.9528370607292804,0.31297127670348357,0.8763554142559123,0.0,0.0,0.0
2,0,64,instant,1,0.8251081190672148,0.6422241698216775,0.5197300453835623,0.0,0.0,0.0
2,0,64,trace,1,0.9617732614728375,0.28458433336922234,0.8843349995534076,0.0,0.0,0.0
2,0,128,instant,1,0.8107548349124988,0.6530611481419467,0.5212511672922813,0.0,0.0,0.0
2,0,128,trace,1,0.9631100282529401,0.27454212766419256,0.9087626034455616,0.0,0.0,0.0
