layers,memory,seed,T,mode,cos,rel,norm
1,0,5,2,trace,0.999976908993715,0.006785506442836611,1.0001025310220624
1,0,5,2,instant,0.9902280217335143,0.14480865588363492,1.0292323329475441
1,0,5,4,trace,0.9999992908298824,0.001268403421314328,0.9999980687509724
1,0,5,4,instant,0.9497095953538274,0.3131602518222976,0.9455049538032292
1,0,5,8,trace,0.999648241141156,0.026520199857862317,0.9999629991453196
1,0,5,8,instant,0.9627396093614389,0.2705418906321916,0.9549438431355933
1,0,5,16,trace,0.9998633044503948,0.01653638298387253,0.9998015101137455
1,0,5,16,instant,0.8577353261949457,0.519967961274509,0.7797831735942795
1,0,5,32,trace,0.9997833625578125,0.020808661585660818,0.9998525732636292
1,0,5,32,instant,0.8361183776936604,0.548797852879294,0.8195832143155967
1,0,5,64,trace,0.999750436630326,0.02233973811067889,0.9999162502308574
1,0,5,64,instant,0.8518724776099106,0.5237834719720452,0.8459184937224024
1,0,5,128,trace,0.9997019629000945,0.024413326376802005,0.9999180662904242
1,0,5,128,instant,0.8215864543744968,0.5701124834187724,0.8158359459951621
1,1,5,2,trace,0.999616324431702,0.02966051054009598,1.0101540819265475
1,1,5,2,instant,0.9932535145011715,0.12287556759904396,1.0339138052893904
1,1,5,4,trace,0.9994265651355386,0.035598013224745075,1.0104035664224567
1,1,5,4,instant,0.9855974822593752,0.16917972086709587,0.9904830843510622
1,1,5,8,trace,0.9990423435137384,0.04592250183278651,1.0129635622913693
1,1,5,8,instant,0.9380196359315328,0.36228223361449113,0.8325252168124889
1,1,5,16,trace,0.9995758914816292,0.029494129290076943,1.0042738058946095
1,1,5,16,instant,0.7576962931517924,0.67954209780046,0.5682728782775499
1,1,5,32,trace,0.9996094866030172,0.02983055401990448,0.9891223181972122
1,1,5,32,instant,0.7026868380149304,0.751107386287572,0.461996836783217
1,1,5,64,trace,0.9996660171460463,0.030857858038358298,0.9828233551420338
1,1,5,64,instant,0.6991361375336642,0.7776913551377875,0.3932025989304259
1,1,5,128,trace,0.9995166987095704,0.042047009359723206,0.9711879947180463
1,1,5,128,instant,0.7194378136459068,0.7667135582936357,0.3947224872794512
2,0,5,2,trace,0.9895528847219162,0.17296572930349224,1.0851293952394518
2,0,5,2,instant,0.9887730887695999,0.1998465715783101,1.121485809116996
2,0,5,4,trace,0.9898193489832658,0.17246924383816198,1.0872201227212281
2,0,5,4,instant,0.9685799060657965,0.3010313468716524,1.1381845435424618
2,0,5,8,trace,0.8770250793347105,0.5357812430144965,1.1141628766517484
2,0,5,8,instant,0.8426021648260927,0.5532627177208592,0.969398542640097
2,0,5,16,trace,0.9501914700628282,0.3117036766038205,0.9549802998045012
2,0,5,16,instant,0.7753985648596495,0.6322269711946837,0.7445165448345374
2,0,5,32,trace,0.8512865366795697,0.5322309285909274,0.7620764451410644
2,0,5,32,instant,0.7486735959685381,0.6646371108836262,0.7011939440542632
2,0,5,64,trace,0.7818159067653869,0.6338772748623924,0.6676377669098358
2,0,5,64,instant,0.6270746813989456,0.7816923261835687,0.561762960739381
2,0,5,128,trace,0.7525070788154581,0.6669420772703182,0.6472512436722373
2,0,5,128,instant,0.5669081711508774,0.8261011890505727,0.5050366573377527
2,1,5,2,trace,0.9877798723369362,0.16291256669310886,1.0352086359132777
2,1,5,2,instant,0.9900433933407544,0.14776319765421914,1.0349825711123013
2,1,5,4,trace,0.9660547032207182,0.2667287262667878,1.0324356127837917
2,1,5,4,instant,0.9573589474805634,0.2914640303648917,0.995928148300094
2,1,5,8,trace,0.9617567728096057,0.27937414843061975,1.016772357638644
2,1,5,8,instant,0.9390143390936074,0.34388085272590896,0.9375484272351686
2,1,5,16,trace,0.9363205158707284,0.3724789681290914,0.8120761371238976
2,1,5,16,instant,0.6170546387420318,0.7901134549143773,0.5460888270791359
2,1,5,32,trace,0.9228297584036131,0.4205821717299949,0.7539960928417714
2,1,5,32,instant,0.4728686427787197,0.8818205579619386,0.43805110572639044
2,1,5,64,trace,0.9237922731090271,0.43640554266369275,0.7144086774496484
2,1,5,64,instant,0.40774770528073007,0.9136434545755262,0.3760851507675327
2,1,5,128,trace,0.922905479249899,0.44398812320119596,0.7018174671696765
2,1,5,128,instant,0.4013688251463608,0.9175869181441288,0.34602937010793905
