task,condition,seed,train_length,eval_length,accuracy
parity,full,0,8,8,0.359375
parity,full,0,8,16,0.359375
parity,full,1,8,8,0.421875
parity,full,1,8,16,0.40625
parity,full,2,8,8,0.46875
parity,full,2,8,16,0.4609375
parity,no_complex,0,8,8,0.453125
parity,no_complex,0,8,16,0.46875
parity,no_complex,1,8,8,0.484375
parity,no_complex,1,8,16,0.5625
parity,no_complex,2,8,8,0.5
parity,no_complex,2,8,16,0.4609375
parity,no_memory,0,8,8,0.359375
parity,no_memory,0,8,16,0.3515625
parity,no_memory,1,8,8,0.421875
parity,no_memory,1,8,16,0.40625
parity,no_memory,2,8,8,0.46875
parity,no_memory,2,8,16,0.4609375
parity,fixed_decay,0,8,8,0.359375
parity,fixed_decay,0,8,16,0.359375
parity,fixed_decay,1,8,8,0.421875
parity,fixed_decay,1,8,16,0.40625
parity,fixed_decay,2,8,8,0.46875
parity,fixed_decay,2,8,16,0.4609375
mod3,full,0,8,8,0.296875
mod3,full,0,8,16,0.3359375
mod3,full,1,8,8,0.421875
mod3,full,1,8,16,0.359375
mod3,full,2,8,8,0.359375
mod3,full,2,8,16,0.2578125
mod3,no_complex,0,8,8,0.40625
mod3,no_complex,0,8,16,0.34375
mod3,no_complex,1,8,8,0.234375
mod3,no_complex,1,8,16,0.3671875
mod3,no_complex,2,8,8,0.390625
mod3,no_complex,2,8,16,0.359375
mod3,no_memory,0,8,8,0.296875
mod3,no_memory,0,8,16,0.34375
mod3,no_memory,1,8,8,0.453125
mod3,no_memory,1,8,16,0.34375
mod3,no_memory,2,8,8,0.34375
mod3,no_memory,2,8,16,0.25
mod3,fixed_decay,0,8,8,0.296875
mod3,fixed_decay,0,8,16,0.328125
mod3,fixed_decay,1,8,8,0.421875
mod3,fixed_decay,1,8,16,0.359375
mod3,fixed_decay,2,8,8,0.359375
mod3,fixed_decay,2,8,16,0.25
mod5,full,0,8,8,0.171875
mod5,full,0,8,16,0.1640625
mod5,full,1,8,8,0.140625
mod5,full,1,8,16,0.234375
mod5,full,2,8,8,0.25
mod5,full,2,8,16,0.203125
mod5,no_complex,0,8,8,0.140625
mod5,no_complex,0,8,16,0.171875
mod5,no_complex,1,8,8,0.203125
mod5,no_complex,1,8,16,0.2578125
mod5,no_complex,2,8,8,0.265625
mod5,no_complex,2,8,16,0.2109375
mod5,no_memory,0,8,8,0.1875
mod5,no_memory,0,8,16,0.1640625
mod5,no_memory,1,8,8,0.140625
mod5,no_memory,1,8,16,0.21875
mod5,no_memory,2,8,8,0.25
mod5,no_memory,2,8,16,0.1953125
mod5,fixed_decay,0,8,8,0.171875
mod5,fixed_decay,0,8,16,0.1640625
mod5,fixed_decay,1,8,8,0.140625
mod5,fixed_decay,1,8,16,0.2265625
mod5,fixed_decay,2,8,8,0.25
mod5,fixed_decay,2,8,16,0.203125
xor,full,0,8,8,0.515625
xor,full,0,8,16,0.4375
xor,full,1,8,8,0.671875
xor,full,1,8,16,0.6484375
xor,full,2,8,8,0.609375
xor,full,2,8,16,0.578125
xor,no_complex,0,8,8,0.5625
xor,no_complex,0,8,16,0.4609375
xor,no_complex,1,8,8,0.6875
xor,no_complex,1,8,16,0.65625
xor,no_complex,2,8,8,0.671875
xor,no_complex,2,8,16,0.5859375
xor,no_memory,0,8,8,0.515625
xor,no_memory,0,8,16,0.421875
xor,no_memory,1,8,8,0.65625
xor,no_memory,1,8,16,0.640625
xor,no_memory,2,8,8,0.609375
xor,no_memory,2,8,16,0.578125
xor,fixed_decay,0,8,8,0.515625
xor,fixed_decay,0,8,16,0.4296875
xor,fixed_decay,1,8,8,0.65625
xor,fixed_decay,1,8,16,0.640625
xor,fixed_decay,2,8,8,0.609375
xor,fixed_decay,2,8,16,0.578125
copy,full,0,8,8,0.65625
copy,full,0,8,16,0.65625
copy,full,1,8,8,0.671875
copy,full,1,8,16,0.578125
copy,full,2,8,8,0.828125
copy,full,2,8,16,0.78125
copy,no_complex,0,8,8,0.578125
copy,no_complex,0,8,16,0.5390625
copy,no_complex,1,8,8,0.65625
copy,no_complex,1,8,16,0.5546875
copy,no_complex,2,8,8,0.578125
copy,no_complex,2,8,16,0.53125
copy,no_memory,0,8,8,0.65625
copy,no_memory,0,8,16,0.65625
copy,no_memory,1,8,8,0.671875
copy,no_memory,1,8,16,0.578125
copy,no_memory,2,8,8,0.828125
copy,no_memory,2,8,16,0.765625
copy,fixed_decay,0,8,8,0.65625
copy,fixed_decay,0,8,16,0.65625
copy,fixed_decay,1,8,8,0.671875
copy,fixed_decay,1,8,16,0.578125
copy,fixed_decay,2,8,8,0.828125
copy,fixed_decay,2,8,16,0.7734375
