task,condition,train_length,eval_length,seeds,accuracy_mean,accuracy_std
copy,fixed_decay,8,8,3,0.71875,0.07760241888412156
copy,fixed_decay,8,16,3,0.6692708333333334,0.08026580733032522
copy,full,8,8,3,0.71875,0.07760241888412156
copy,full,8,16,3,0.671875,0.08365822085525526
copy,no_complex,8,8,3,0.6041666666666666,0.036828478186799345
copy,no_complex,8,16,3,0.5416666666666666,0.009743899444723805
copy,no_memory,8,8,3,0.71875,0.07760241888412156
copy,no_memory,8,16,3,0.6666666666666666,0.0769001201053823
mod3,fixed_decay,8,8,3,0.359375,0.05103103630798288
mod3,fixed_decay,8,16,3,0.3125,0.0459987545121242
mod3,full,8,8,3,0.359375,0.05103103630798288
mod3,full,8,16,3,0.3177083333333333,0.04342013541805486
mod3,no_complex,8,8,3,0.34375,0.07760241888412156
mod3,no_complex,8,16,3,0.3567708333333333,0.009743899444723805
mod3,no_memory,8,8,3,0.3645833333333333,0.06546773484362778
mod3,no_memory,8,16,3,0.3125,0.04419417382415922
mod5,fixed_decay,8,8,3,0.1875,0.0459987545121242
mod5,fixed_decay,8,16,3,0.19791666666666666,0.025779934730759544
mod5,full,8,8,3,0.1875,0.0459987545121242
mod5,full,8,16,3,0.20052083333333334,0.02876396098225849
mod5,no_complex,8,8,3,0.203125,0.05103103630798288
mod5,no_complex,8,16,3,0.21354166666666666,0.03513212907091677
mod5,no_memory,8,8,3,0.19270833333333334,0.04480377743251368
mod5,no_memory,8,16,3,0.19270833333333334,0.02240188871625684
parity,fixed_decay,8,8,3,0.4166666666666667,0.04480377743251368
parity,fixed_decay,8,16,3,0.4088541666666667,0.041503587110701116
parity,full,8,8,3,0.4166666666666667,0.04480377743251368
parity,full,8,16,3,0.4088541666666667,0.041503587110701116
parity,no_complex,8,8,3,0.4791666666666667,0.01948779888944761
parity,no_complex,8,16,3,0.4973958333333333,0.04614595090278477
parity,no_memory,8,8,3,0.4166666666666667,0.04480377743251368
parity,no_memory,8,16,3,0.40625,0.044652156769485016
xor,fixed_decay,8,8,3,0.59375,0.05846339666834283
xor,fixed_decay,8,16,3,0.5494791666666666,0.08846504037220328
xor,full,8,8,3,0.5989583333333334,0.06421264586426018
xor,full,8,16,3,0.5546875,0.08769509500251425
xor,no_complex,8,8,3,0.640625,0.05560978256266308
xor,no_complex,8,16,3,0.5677083333333334,0.08077115843370221
xor,no_memory,8,8,3,0.59375,0.05846339666834283
xor,no_memory,8,16,3,0.546875,0.0919975090242484
